Strain,nopred1,nopred2,nopred3,nopred4,pred1,pred2,pred3,pred4,Time(h),MeanDiff
B5-03,0.6489,0.9049,0.7682,1.0303,0.8038,0.635,1.0177,0.6023,93,0.073375
B5-03,0.6673,1.042,0.7639,0.579,0.5568,0.5228,0.941,0.5128,96,0.1297
B5-03,0.6501,0.7893,0.6268,0.6243,0.6257,0.9423,0.421,0.5349,99,0.04165
B5-03,0.8179,0.6676,0.7538,0.7345,0.6123,0.4358,0.6103,0.3409,114,0.243625
B5-03,0.9952,0.7031,0.7555,0.756,0.6148,0.5435,0.6055,0.3678,117,0.26955
B5-04,0.1387,0.1312,0.1451,0.1242,0.1716,0.1518,0.1639,0.162,0,-0.027525
B5-04,0.1423,0.1363,0.1344,0.1296,0.1696,0.1514,0.1636,0.1618,3,-0.02595
B5-04,0.149,0.1404,0.1394,0.1344,0.177,0.1554,0.1699,0.1632,6,-0.025575
B5-04,0.176,0.1583,0.1734,0.153,0.1974,0.1805,0.1796,0.1755,21,-0.018075
B5-04,0.1995,0.1673,0.2143,0.1657,0.2117,0.1798,0.1946,0.1833,24,-0.00565
B5-04,0.2166,0.1779,0.2323,0.176,0.2199,0.1845,0.2087,0.1884,27,0.000325
B5-04,0.2351,0.1913,0.2689,0.1905,0.2288,0.1931,0.2183,0.2048,30,0.0102
B5-04,0.3048,0.2366,0.3254,0.1983,0.2718,0.2299,0.241,0.2212,45,0.0253
B5-04,0.2251,0.2519,0.4138,0.1753,0.2892,0.2524,0.3119,0.2444,48,-0.00795
B5-04,0.2513,0.348,0.3358,0.1792,0.3212,0.2746,0.2728,0.2493,51,-0.0009
B5-04,0.373,0.4449,0.4131,0.1693,0.4093,0.2821,0.335,0.3393,66,0.00865
B5-04,0.2735,0.391,0.5876,0.1728,0.4318,0.3346,0.3144,0.3335,69,0.00265
B5-04,0.2282,0.3689,0.3431,0.1743,0.4916,0.3475,0.3383,0.4005,72,-0.11585
B5-04,0.2763,0.4233,0.5883,0.2179,0.494,0.3553,0.4064,0.371,75,-0.030225
B5-04,0.3628,0.404,0.7762,0.2178,0.5567,0.3691,0.2035,0.3763,90,0.0638
B5-04,0.3354,0.2981,0.8913,0.1883,0.5665,0.3723,0.4633,0.5265,93,-0.053875
B5-04,0.1898,0.2815,0.4482,0.1701,0.626,0.3573,0.5828,0.4013,96,-0.21945
B5-04,0.1925,0.2829,0.9319,0.1678,0.6292,0.3648,0.4079,0.4897,99,-0.079125
B5-04,0.2489,0.3523,0.4398,0.2219,0.5793,0.3747,0.3139,0.4058,114,-0.1027
B5-04,0.3056,0.4763,0.4209,0.2218,0.4072,0.3491,0.4261,0.3881,117,-0.036475
B5-05,0.1451,0.1414,0.1475,0.1438,0.1656,0.1651,0.1794,0.1958,0,-0.032025
B5-05,0.1458,0.1485,0.1537,0.1487,0.1715,0.1605,0.1646,0.1842,3,-0.021025
B5-05,0.1552,0.158,0.1609,0.1587,0.1817,0.1653,0.1728,0.1896,6,-0.01915
B5-05,0.1819,0.1826,0.1894,0.1857,0.1916,0.1872,0.1874,0.2113,21,-0.009475
B5-05,0.2049,0.2109,0.2199,0.2121,0.2085,0.2118,0.2151,0.2336,24,-0.0053
B5-05,0.2185,0.2285,0.2404,0.2284,0.2209,0.2292,0.2536,0.2529,27,-0.0102
B5-05,0.2391,0.2532,0.2655,0.2441,0.2356,0.2523,0.25,0.2814,30,-0.00435
B5-05,0.2386,0.324,0.2201,0.2315,0.2654,0.2928,0.2933,0.3098,45,-0.036775
B5-05,0.217,0.3128,0.2715,0.2719,0.2841,0.3247,0.3315,0.3698,48,-0.059225
B5-05,0.2009,0.3453,0.283,0.241,0.3046,0.3648,0.3469,0.379,51,-0.081275
B5-05,0.2226,0.6116,0.37,0.2901,0.4274,0.4962,0.4311,0.4653,66,-0.081425
B5-05,0.2897,0.6788,0.7359,0.3555,0.4218,0.518,0.5075,0.4969,69,0.028925
B5-05,0.2733,0.4445,0.6332,0.2873,0.6371,0.5685,0.5087,0.5671,72,-0.160775
B5-05,0.2614,0.7088,0.9506,0.4525,0.4859,0.6333,0.5589,0.7338,75,-0.00965
B5-05,0.3965,0.5742,0.9503,0.6085,0.3706,0.7193,0.6028,0.6353,90,0.050375
B5-05,0.4791,0.7729,0.8954,0.7295,0.634,0.7503,0.5361,0.5294,93,0.106775
B5-05,0.324,0.7814,0.8567,0.4344,0.7439,0.8417,0.5608,0.4749,96,-0.0562
B5-05,0.3637,0.5751,0.9201,0.6437,0.7722,0.8451,0.5398,0.5854,99,-0.059975
B5-05,0.3499,0.6343,0.6937,0.9434,0.5298,0.7949,0.5711,0.6225,114,0.02575
B5-05,0.7345,1.0361,0.5834,0.9038,0.5725,0.7255,0.6124,0.6309,117,0.179125
B5-06,0.1952,0.2095,0.2064,0.2231,0.1601,0.1517,0.1627,0.1644,0,0.048825
B5-06,0.1957,0.2129,0.1976,0.2009,0.1659,0.1611,0.1685,0.1743,3,0.034325
B5-06,0.2088,0.2288,0.211,0.2148,0.1774,0.1736,0.1821,0.191,6,0.034825
B5-06,0.229,0.2448,0.2251,0.2398,0.1971,0.2001,0.2006,0.2325,21,0.0271
B5-06,0.2506,0.2726,0.2378,0.23,0.2181,0.2187,0.2222,0.2615,24,0.017625
B5-06,0.257,0.2941,0.264,0.2484,0.23,0.3229,0.2677,0.3123,27,-0.01735
B5-06,0.2742,0.3115,0.2595,0.2496,0.2409,0.3569,0.2704,0.3947,30,-0.042025
